observation_date,Real_M1,Real_M1_Growth,Real_GDP_Growth
1982-04-01,983.4370807029893,-0.30120582346925273,0.45617712847594305
1982-07-01,971.631820942136,-1.2004082409028727,-0.3822668357868153
1982-10-01,997.0806680118491,2.619186251540917,0.04000878796246443
1983-01-01,1016.6602752567214,1.9636933974372939,1.3177904101375981
1983-04-01,1043.0148458317472,2.5922691400891873,2.2755202453599743
1983-07-01,1062.5876247672059,1.8765580388120373,1.9989546084432597
1983-10-01,1074.1209943718718,1.085404096174436,2.0861826282885465
1984-01-01,1079.5863401796912,0.5088203132102009,1.9547903421914148
1984-04-01,1090.612577718887,1.021339111919528,1.72776158649941
1984-07-01,1092.9259865430079,0.2121201305929965,0.9640100468944812
1984-10-01,1090.4313992900263,-0.2282485075564944,0.8207729448110435
1985-01-01,1106.1683282360884,1.4431837671134762,0.9689792275400899
1985-04-01,1125.5377086704289,1.7510337206297688,0.8804735728179081
1985-07-01,1155.4605366389455,2.658536247876042,1.5272714228687922
1985-10-01,1185.51171273089,2.6007964044673093,0.7434491447220193
1986-01-01,1206.039903734182,1.7315890499305375,0.9337476298391323
1986-04-01,1239.3897793847523,2.765238160637251,0.4502963552820649
1986-07-01,1290.7511890778148,4.144088530289403,0.9566680366350555
1986-10-01,1330.869115562876,3.108106877958683,0.5363928796076722
1987-01-01,1389.5866636218316,4.411970145848754,0.7418449354178902
1987-04-01,1405.919262171152,1.1753565989724546,1.0781776439800383
1987-07-01,1393.6563314763753,-0.8722357694878724,0.8671780251486849
1987-10-01,1407.197886039674,0.9716566600715293,1.7169568645530875
1988-01-01,1396.2591628353553,-0.777340792850667,0.5168825405082789
1988-04-01,1404.5642394762829,0.5948091057868199,1.3140322788294911
1988-07-01,1411.998554391037,0.5292968954931032,0.5859696453140995
1988-10-01,1403.3107599699022,-0.6152835209439544,1.332456056364184
1989-01-01,1393.085106382979,-0.7286806228965714,1.016394950898869
1989-04-01,1366.9935615164648,-1.8729325830105559,0.7630996574299775
1989-07-01,1354.6510615322986,-0.9028937905511514,0.7407356250722863
1989-10-01,1360.2877598312177,0.4160996480188306,0.19698105538052957
1990-01-01,1360.8212147134302,0.03921632598375968,1.0928820446238552
1990-04-01,1363.8440064292363,0.2221299670466026,0.36297003021481533
1990-07-01,1358.9773699484995,-0.3568323399006923,0.06658167932800385
1990-10-01,1365.2485221879942,0.46146112350144985,-0.9104045569679919
1991-01-01,1364.04861237076,-0.08788947929503355,-0.4679406451076118
1991-04-01,1380.1401257202724,1.1796876741470896,0.7796890568610104
1991-07-01,1399.4737355033624,1.4008439739406908,0.5053586865160886
1991-10-01,1417.706802732073,1.302851691043161,0.34854484461859236
1992-01-01,1464.583903090362,3.3065440800560397,1.1972522099874316
1992-04-01,1509.2348284960422,3.048710648223296,1.0843032755055937
1992-07-01,1532.916408077529,1.569111654088018,0.9881101865980568
1992-10-01,1586.300633761636,3.482526862052282,1.0428555994048683
1993-01-01,1619.4128371157356,2.0873851178877523,0.16694372234020705
1993-04-01,1636.6959863764898,1.0672478854457212,0.5821709439287392
1993-07-01,1684.5015298119183,2.9208566424890003,0.477154822775705
1993-10-01,1719.392010874602,2.071264433139408,1.360149302911906
1994-01-01,1739.638420858443,1.177533096338057,0.9703629882517051
1994-04-01,1745.8156115173954,0.35508474547856217,1.355182630845131
1994-07-01,1750.4601670292227,0.26603929310671237,0.5845845553328566
1994-10-01,1740.2750669511142,-0.5818527190706635,1.1455701559946796
1995-01-01,1732.6792271112986,-0.436473519851277,0.3547805075420518
1995-04-01,1721.2562339937997,-0.6592676208476922,0.298322846097121
1995-07-01,1707.1535022354694,-0.8193278536809068,0.8507255022384363
1995-10-01,1686.8131053201428,-1.1914802557995818,0.6790820510536255
1996-01-01,1658.3760166501836,-1.6858470319130014,0.7490501226268043
1996-04-01,1653.4368201328864,-0.2978333301800973,1.6679441018912833
1996-07-01,1629.8662290662405,-1.425551359425481,0.8970337411311258
1996-10-01,1582.307075712308,-2.9179789424300995,1.0383695301930063
1997-01-01,1566.3889894965591,-1.0060048684660705,0.6454431985977394
1997-04-01,1538.2724617564559,-1.79499012880191,1.665217830555843
1997-07-01,1533.888057123114,-0.285021330248314,1.2485689750959317
1997-10-01,1528.9475572135734,-0.3220899912870334,0.8538602727445443
1998-01-01,1538.8142247184571,0.6453241288972178,1.0037531320823412
1998-04-01,1538.7584156434482,-0.003626758455466117,0.9256878799962953
1998-07-01,1530.2825421678172,-0.550825483029882,1.258940271371034
1998-10-01,1541.4531673598,0.7299714192751994,1.609196570958149
1999-01-01,1553.5779972270166,0.7865843818001927,0.9394337487217186
1999-04-01,1552.6645900576468,-0.058793776109089535,0.8347428958686454
1999-07-01,1543.6797752808986,-0.5786706822762389,1.3258832295057754
1999-10-01,1541.0294014945177,-0.1716919421256624,1.6406670865683814
2000-01-01,1556.936909436528,1.03226505130809,0.36279340872638066
2000-04-01,1538.334252619967,-1.1948240615153427,1.8212878131352639
2000-07-01,1512.8043430576881,-1.6595814283403176,0.10193258635609048
2000-10-01,1498.1523651090174,-0.968530928398581,0.5970387927816567
2001-01-01,1485.6004984963831,-0.8378231016389903,-0.3277988076401672
2001-04-01,1503.6490453235667,1.214899082589893,0.624502930243831
2001-07-01,1527.5356098607795,1.5885731189403174,-0.40063919531907466
2001-10-01,1558.5891539202055,2.0329178487862753,0.2747754478590769
2002-01-01,1587.0286696789155,1.8246961161752173,0.8363586564324121
2002-04-01,1576.4587124281104,-0.6660218213287661,0.6127065840058066
2002-07-01,1585.062789160608,0.5457850982500734,0.4065114300350947
